Run,Gen,Rule,Fitness,anchoring_bias,attentional_bias,cognitive_dissonance,confirmation_bias,conformity_bias,egocentric_bias,recency_bias
0,0,( exec-homogenous (( egocentric-bias  ) )  ) ,0.348748745,0,0,0,0,0,1,0
0,0,( exec-homogenous (( pick_from_list (( enlist (( recency-bias  ) ) (( conformity-bias  ) )  ) )  ) )  ) ,0.092825454,0,0,0,0,1,0,1
0,0,( exec-homogenous (( recency-bias  ) )  ) ,0.326025777,0,0,0,0,0,0,1
0,0,( exec-homogenous (( confirmation-bias  ) )  ) ,1.95E-18,0,0,0,1,0,0,0
0,0,( exec-two-species (( recency-bias  ) ) (( cognitive-dissonance  ) )  ) ,0.3983119,0,0,1,0,0,0,1
0,0,( exec-two-species (( confirmation-bias  ) ) (( pick_from_list (( enlist (( egocentric-bias  ) ) (( pick_from_list (( enlist (( attentional-bias  ) ) (( pick_from_list (( enlist (( attentional-bias  ) ) (( anchoring-bias  ) )  ) )  ) )  ) )  ) )  ) )  ) )  ) ,0.046278843,1,2,0,1,0,1,0
0,0,( exec-homogenous (( conformity-bias  ) )  ) ,8.33E-17,0,0,0,0,1,0,0
0,0,( exec-homogenous (( attentional-bias  ) )  ) ,0.359050047,0,1,0,0,0,0,0
0,0,( exec-two-species (( cognitive-dissonance  ) ) (( conformity-bias  ) )  ) ,0.403110165,0,0,1,0,1,0,0
0,0,( exec-homogenous (( attentional-bias  ) )  ) ,0.373902278,0,1,0,0,0,0,0
0,0,( exec-two-species (( conformity-bias  ) ) (( pick_from_list (( enlist (( conformity-bias  ) ) (( confirmation-bias  ) )  ) )  ) )  ) ,2.46E-06,0,0,0,1,2,0,0
0,0,( exec-two-species (( attentional-bias  ) ) (( attentional-bias  ) )  ) ,0.357815693,0,2,0,0,0,0,0
0,0,( exec-homogenous (( conformity-bias  ) )  ) ,0.370960584,0,0,0,0,1,0,0
0,0,( exec-two-species (( conformity-bias  ) ) (( egocentric-bias  ) )  ) ,0.367386173,0,0,0,0,1,1,0
0,0,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.371449231,0,0,1,0,0,0,0
0,0,( exec-two-species (( anchoring-bias  ) ) (( cognitive-dissonance  ) )  ) ,0.298537839,1,0,1,0,0,0,0
0,0,( exec-two-species (( pick_from_list (( enlist (( cognitive-dissonance  ) ) (( attentional-bias  ) )  ) )  ) ) (( attentional-bias  ) )  ) ,0.380895983,0,2,1,0,0,0,0
0,0,( exec-homogenous (( egocentric-bias  ) )  ) ,0.375752304,0,0,0,0,0,1,0
0,0,( exec-two-species (( cognitive-dissonance  ) ) (( attentional-bias  ) )  ) ,0.389273261,0,1,1,0,0,0,0
0,0,( exec-two-species (( anchoring-bias  ) ) (( confirmation-bias  ) )  ) ,2.78E-16,1,0,0,1,0,0,0
0,1,( exec-homogenous (( conformity-bias  ) )  ) ,2.22E-16,0,0,0,0,1,0,0
0,1,( exec-two-species (( cognitive-dissonance  ) ) (( conformity-bias  ) )  ) ,0.330659154,0,0,1,0,1,0,0
0,1,( exec-two-species (( cognitive-dissonance  ) ) (( attentional-bias  ) )  ) ,0.34554934,0,1,1,0,0,0,0
0,1,( exec-homogenous (( egocentric-bias  ) )  ) ,0.396599456,0,0,0,0,0,1,0
0,1,( exec-homogenous (( attentional-bias  ) )  ) ,0.381626189,0,1,0,0,0,0,0
0,1,( exec-homogenous (( egocentric-bias  ) )  ) ,0.387552341,0,0,0,0,0,1,0
0,1,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.392290104,0,0,1,0,0,0,0
0,1,( exec-two-species (( recency-bias  ) ) (( cognitive-dissonance  ) )  ) ,0.378407039,0,0,1,0,0,0,1
0,1,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.368085106,0,0,1,0,0,0,0
0,1,( exec-two-species (( cognitive-dissonance  ) ) (( attentional-bias  ) )  ) ,0.394108396,0,1,1,0,0,0,0
0,1,( exec-two-species (( conformity-bias  ) ) (( conformity-bias  ) )  ) ,1.39E-17,0,0,0,0,2,0,0
0,1,( exec-homogenous (( egocentric-bias  ) )  ) ,0.386444759,0,0,0,0,0,1,0
0,1,( exec-homogenous (( attentional-bias  ) )  ) ,0.386206572,0,1,0,0,0,0,0
0,1,( exec-homogenous (( attentional-bias  ) )  ) ,0.376570469,0,1,0,0,0,0,0
0,1,( exec-two-species (( cognitive-dissonance  ) ) (( attentional-bias  ) )  ) ,0.371223781,0,1,1,0,0,0,0
0,1,( exec-homogenous (( egocentric-bias  ) )  ) ,0.390441325,0,0,0,0,0,1,0
0,1,( exec-homogenous (( conformity-bias  ) )  ) ,3.00E-15,0,0,0,0,1,0,0
0,1,( exec-two-species (( cognitive-dissonance  ) ) (( cognitive-dissonance  ) )  ) ,0.365302259,0,0,2,0,0,0,0
0,1,( exec-two-species (( conformity-bias  ) ) (( egocentric-bias  ) )  ) ,0.34126488,0,0,0,0,1,1,0
0,1,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.377831798,0,0,1,0,0,0,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.365144207,0,0,0,0,0,1,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.41125285,0,0,0,0,0,1,0
0,2,( exec-two-species (( attentional-bias  ) ) (( cognitive-dissonance  ) )  ) ,0.416465451,0,1,1,0,0,0,0
0,2,( exec-homogenous (( recency-bias  ) )  ) ,0.256872492,0,0,0,0,0,0,1
0,2,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.379782596,0,0,1,0,0,0,0
0,2,( exec-two-species (( egocentric-bias  ) ) (( attentional-bias  ) )  ) ,0.360135449,0,1,0,0,0,1,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.42040827,0,0,0,0,0,1,0
0,2,( exec-homogenous (( attentional-bias  ) )  ) ,0.393295888,0,1,0,0,0,0,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.355775704,0,0,0,0,0,1,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.381840778,0,0,0,0,0,1,0
0,2,( exec-homogenous (( attentional-bias  ) )  ) ,0.381447319,0,1,0,0,0,0,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.369694684,0,0,0,0,0,1,0
0,2,( exec-two-species (( cognitive-dissonance  ) ) (( attentional-bias  ) )  ) ,0.355022548,0,1,1,0,0,0,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.381971717,0,0,0,0,0,1,0
0,2,( exec-homogenous (( attentional-bias  ) )  ) ,0.386395013,0,1,0,0,0,0,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.373859614,0,0,0,0,0,1,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.356756789,0,0,0,0,0,1,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.369314709,0,0,0,0,0,1,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.368488243,0,0,0,0,0,1,0
0,2,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.375316733,0,0,1,0,0,0,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.388793387,0,0,0,0,0,1,0
0,3,( exec-homogenous (( attentional-bias  ) )  ) ,0.405205172,0,1,0,0,0,0,0
0,3,( exec-homogenous (( attentional-bias  ) )  ) ,0.376134984,0,1,0,0,0,0,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.390578417,0,0,0,0,0,1,0
0,3,( exec-homogenous (( attentional-bias  ) )  ) ,0.371041845,0,1,0,0,0,0,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.382690311,0,0,0,0,0,1,0
0,3,( exec-homogenous (( attentional-bias  ) )  ) ,0.380878593,0,1,0,0,0,0,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.396726971,0,0,0,0,0,1,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.379351006,0,0,0,0,0,1,0
0,3,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.395407947,0,0,1,0,0,0,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.383230264,0,0,0,0,0,1,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.366461802,0,0,0,0,0,1,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.406939231,0,0,0,0,0,1,0
0,3,( exec-two-species (( attentional-bias  ) ) (( cognitive-dissonance  ) )  ) ,0.398264468,0,1,1,0,0,0,0
